,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,513080.SH,法国CAC40ETF,华安基金,中国银行,股票型,20200529,,20200612,20200330,,2.5692,0.5,0.15,,1.0,0.1,,法国CAC40指数收益率(经汇率调整后),L,被动指数型,契约型开放式,,20200612,20200612,E
1,515770.SH,NMSCIAETF,上投摩根基金,平安银行,股票型,20200513,,20200619,20200413,,7.4473,0.15,0.05,,1.0,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,,20200619,20200619,E
2,515820.SH,800ETF基金,富国基金,中国工商银行,股票型,20200513,,20200529,20200327,,2.4853,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200529,20200529,E
3,510690.SH,兴业金融ETF,兴业基金,招商银行,股票型,20200508,,20200622,20200302,,2.9584,0.5,0.1,,1.0,0.1,,上证180金融股指数收益率,I,被动指数型,契约型开放式,,20200622,20200622,E
4,159809.SZ,恒生湾区,博时基金,招商银行,股票型,20200430,,20200521,20200330,,3.9117,0.15,0.05,,1.0,0.1,,恒生沪深港通大湾区综合指数收益率,L,被动指数型,契约型开放式,,20200521,20200521,E
5,167508.SZ,安信价值,安信基金,中国工商银行,混合型,20200430,,20200608,20200401,,4.0178,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,E
6,515190.SH,中银证券500ETF,中银证券,招商银行,股票型,20200430,,20200527,20200330,,2.5147,0.15,0.05,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200527,20200527,E
7,515780.SH,浦银MSCI中国ETF,浦银安盛基金,中国银行,股票型,20200430,,20200529,20200320,,5.5479,0.15,0.05,,1.0,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,,20200529,20200529,E
8,159988.SZ,粤债ETF,平安基金,中国银行,债券型,20200429,,20200529,20200224,,6.6149,0.15,0.05,,1.0,0.1,,中债-0-5年广东省地方政府债指数,L,被动指数型,契约型开放式,,20200529,20200529,E
9,159812.SZ,黄金基金,前海开源基金,中国建设银行,商品型,20200429,,20200529,20200407,,3.1717,0.5,0.1,,1.0,0.1,,上海黄金交易所Au99.99现货实盘合约收益率,L,黄金现货合约,契约型开放式,,20200529,20200529,E
